a,c,q,d,Correct,Wrong,Non-verifiable
http://www.worldkg.org/resource/4982336829,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/4982336829,Place de la Nation - Taillebourg,yes,,
http://www.worldkg.org/resource/5616554425,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/5616554425,Blue Bike,yes,,
http://www.worldkg.org/resource/326099436,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/326099436,Moquechien,yes,,
http://www.worldkg.org/resource/7861182113,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7861182113,Domplatz,yes,,
http://www.worldkg.org/resource/3212625388,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/3212625388,P.I. de Douai,yes,,
http://www.worldkg.org/resource/7248379851,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7248379851,Alexander Fleming - Belvédère,yes,,
http://www.worldkg.org/resource/2279282604,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/2279282604,Pont de Lodi - Dauphine,yes,,
http://www.worldkg.org/resource/1762418452,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1762418452,Zentrum Ost/Humboldtring,yes,,
http://www.worldkg.org/resource/3838673065,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/3838673065,Chamalières Mairie,yes,,
http://www.worldkg.org/resource/780811613,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/780811613,France vélo,,,Non-verifiable
http://www.worldkg.org/resource/2900298141,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/2900298141,Witschorke,,,Non-verifiable
http://www.worldkg.org/resource/2404912785,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/2404912785,Fahrradverleih & Reparatur Jochen Dethlefs,yes,,
http://www.worldkg.org/resource/4105598075,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/4105598075,Neuperlach Süd,yes,,
http://www.worldkg.org/resource/5679195372,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/5679195372,Place de la Nation - Charonne,yes,,
