id,type,osmid,name,yes,no,Non-verifiable
http://www.worldkg.org/resource/2217040351,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2217040351,Граница Европы и Азии,yes,,
http://www.worldkg.org/resource/2154186979,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2154186979,Мемориал погибшим приокчанам в городе Нижний Новгород,yes,,
http://www.worldkg.org/resource/5177223721,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/5177223721,Puits du XVIeme siècle,yes,,
http://www.worldkg.org/resource/2951191980,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2951191980,Камень памяти друзей,yes,,
http://www.worldkg.org/resource/8436955098,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/8436955098,3,,,Non-verifiable
http://www.worldkg.org/resource/1020722149,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1020722149,Sonnenuhr,yes,,
http://www.worldkg.org/resource/2283111988,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2283111988,Monument Capazza,yes,,
http://www.worldkg.org/resource/8752666922,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/8752666922,Ruines,,,Non-verifiable
http://www.worldkg.org/resource/322590821,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/322590821,Eden Millennium Monument,yes,,
http://www.worldkg.org/resource/1280757061,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1280757061,"Стела \""Геленджик\""",yes,,
http://www.worldkg.org/resource/4239712289,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/4239712289,Памяти воинам 147-го пехотного Самарского полка 1798–1918 г.,yes,,
http://www.worldkg.org/resource/1684965145,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1684965145,Памятник В.И Ленину,yes,,
http://www.worldkg.org/resource/261652272,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/261652272,Maison de la Petite Enfance Montchapet,yes,,
http://www.worldkg.org/resource/5825879229,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/5825879229,Wangford Village Sign,yes,,
http://www.worldkg.org/resource/1864095442,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1864095442,Памятник павшим в ВОВ 41-45 гг.,yes,,
http://www.worldkg.org/resource/3320347884,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3320347884,Братское кладбище №5: монумент и братское захоронение останков свыше 300 воинов,yes,,
http://www.worldkg.org/resource/3964543595,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3964543595,Vierge,,,Non-verifiable
http://www.worldkg.org/resource/2204712577,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2204712577,Château de Kerbic,yes,,
http://www.worldkg.org/resource/3826549571,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3826549571,Héraclès,,,Non-verifiable
http://www.worldkg.org/resource/537866811,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/537866811,"Unity, Energy, Prudence",yes,,
http://www.worldkg.org/resource/688562199,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/688562199,Brechkaut,yes,,
http://www.worldkg.org/resource/5338512309,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/5338512309,Henry the Navigator statue,yes,,
http://www.worldkg.org/resource/4316655789,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/4316655789,Открывателям Камчатки,yes,,
http://www.worldkg.org/resource/1981152360,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1981152360,London Stone,yes,,
http://www.worldkg.org/resource/712560596,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/712560596,St George and the Dragon,yes,,
http://www.worldkg.org/resource/3057246500,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3057246500,Стела в память кировцев-жителей блокадного Ленинграда,yes,,
http://www.worldkg.org/resource/6874904666,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/6874904666,Мемориал ВОВ,yes,,
http://www.worldkg.org/resource/8662149517,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/8662149517,Табличка Спивакову,yes,,
http://www.worldkg.org/resource/2264455088,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2264455088,Notre-Dame de Varanges,yes,,
http://www.worldkg.org/resource/7682996785,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/7682996785,Winkepeter Statue,yes,,
http://www.worldkg.org/resource/2700929244,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/2700929244,300 лет Алексеевке,yes,,
http://www.worldkg.org/resource/257721609,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/257721609,War Memorial,yes,,
http://www.worldkg.org/resource/4705477459,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/4705477459,ЗИС-3,yes,,
http://www.worldkg.org/resource/6871587470,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/6871587470,Незнайка Не На Луне!,yes,,
http://www.worldkg.org/resource/1402115527,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1402115527,Monument de la Libération,yes,,
http://www.worldkg.org/resource/7996266685,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/7996266685,Красный мост,yes,,
http://www.worldkg.org/resource/3127810560,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3127810560,Brother Percival statue,yes,,
http://www.worldkg.org/resource/1517460572,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1517460572,Station du rosaire,yes,,
http://www.worldkg.org/resource/1928917133,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1928917133,William Gladstone,yes,,
http://www.worldkg.org/resource/1803056929,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/1803056929,Паровоз,yes,,
http://www.worldkg.org/resource/3470081174,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3470081174,Wurzelmännchen,yes,,
http://www.worldkg.org/resource/3517920004,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3517920004,Invercauld Monument,yes,,
http://www.worldkg.org/resource/3103931578,http://www.worldkg.org/schema/Monument,https://www.openstreetmap.org/node/3103931578,Ступа Просветления,yes,,
