key	value	sameAsDB	sameAsWiki	camel	keyCamel	appendedClass
aerialway	cable_car			CableCar	Aerialway	CableCar
aerialway	gondola			Gondola	Aerialway	Gondola
aerialway	mixed_lift			MixedLift	Aerialway	MixedLift
aerialway	chair_lift			ChairLift	Aerialway	ChairLift
aerialway	drag_lift			DragLift	Aerialway	DragLift
aerialway	t-bar			T-bar	Aerialway	T-bar
aerialway	j-bar			J-bar	Aerialway	J-bar
aerialway	platter			Platter	Aerialway	Platter
aerialway	rope_tow			RopeTow	Aerialway	RopeTow
aerialway	magic_carpet			MagicCarpet	Aerialway	MagicCarpet
aerialway	zip_line			ZipLine	Aerialway	ZipLine
aerialway	goods			Goods	Aerialway	Goods
aerialway	pylon			Pylon	Aerialway	Pylon
aerialway	station			Station	Aerialway	AerialwayStation
aeroway	aerodrome			Aerodrome	Aeroway	Aerodrome
aeroway	apron			Apron	Aeroway	Apron
aeroway	gate			Gate	Aeroway	AerowayGate
aeroway	hangar			Hangar	Aeroway	AerowayHangar
aeroway	helipad			Helipad	Aeroway	Helipad
aeroway	heliport			Heliport	Aeroway	Heliport
aeroway	navigationaid			Navigationaid	Aeroway	Navigationaid
aeroway	runway			Runway	Aeroway	Runway
aeroway	spaceport			Spaceport	Aeroway	Spaceport
aeroway	taxiway			Taxiway	Aeroway	Taxiway
aeroway	terminal			Terminal	Aeroway	AerowayTerminal
aeroway	windsock			Windsock	Aeroway	Windsock
amenity	bar		Q212198	Bar	Amenity	Bar
amenity	biergarten			Biergarten	Amenity	Biergarten
amenity	cafe			Cafe	Amenity	Cafe
amenity	fast_food			FastFood	Amenity	FastFood
amenity	food_court			FoodCourt	Amenity	FoodCourt
amenity	ice_cream			IceCream	Amenity	AmenityIceCream
amenity	pub			Pub	Amenity	Pub
amenity	restaurant		Q11707	Restaurant	Amenity	Restaurant
amenity	college			College	Amenity	AmenityCollege
amenity	driving_school			DrivingSchool	Amenity	DrivingSchool
amenity	kindergarten			Kindergarten	Amenity	AmenityKindergarten
amenity	language_school			LanguageSchool	Amenity	LanguageSchool
amenity	library	Library	Q7075	Library	Amenity	Library
amenity	toy_library			ToyLibrary	Amenity	ToyLibrary
amenity	music_school			MusicSchool	Amenity	MusicSchool
amenity	school	School	Q3914	School	Amenity	AmenitySchool
amenity	university			University	Amenity	AmenityUniversity
amenity	bicycle_parking			BicycleParking	Amenity	BicycleParking
amenity	bicycle_repair_station			BicycleRepairStation	Amenity	BicycleRepairStation
amenity	bicycle_rental		Q61663696	BicycleRental	Amenity	BicycleRental
amenity	boat_rental			BoatRental	Amenity	BoatRental
amenity	boat_sharing			BoatSharing	Amenity	BoatSharing
amenity	bus_station			BusStation	Amenity	BusStation
amenity	car_rental			CarRental	Amenity	CarRental
amenity	car_sharing			CarSharing	Amenity	CarSharing
amenity	car_wash			CarWash	Amenity	CarWash
amenity	vehicle_inspection			VehicleInspection	Amenity	VehicleInspection
amenity	charging_station			ChargingStation	Amenity	ChargingStation
amenity	ferry_terminal			FerryTerminal	Amenity	FerryTerminal
amenity	fuel			Fuel	Amenity	AmenityFuel
amenity	grit_bin			GritBin	Amenity	GritBin
amenity	motorcycle_parking			MotorcycleParking	Amenity	MotorcycleParking
amenity	parking			Parking	Amenity	AmenityParking
amenity	parking_entrance			ParkingEntrance	Amenity	ParkingEntrance
amenity	parking_space			ParkingSpace	Amenity	ParkingSpace
amenity	taxi			Taxi	Amenity	Taxi
amenity	atm			Atm	Amenity	Atm
amenity	bank		Q18761864	Bank	Amenity	Bank
amenity	bureau_de_change			BureauDeChange	Amenity	BureauDeChange
amenity	baby_hatch			BabyHatch	Amenity	BabyHatch
amenity	clinic			Clinic	Amenity	Clinic
amenity	dentist			Dentist	Amenity	Dentist
amenity	doctors			Doctors	Amenity	Doctors
amenity	hospital			Hospital	Amenity	AmenityHospital
amenity	nursing_home			NursingHome	Amenity	NursingHome
amenity	pharmacy			Pharmacy	Amenity	Pharmacy
amenity	social_facility			SocialFacility	Amenity	SocialFacility
